Eggs ,Lucerne,doz,$1.30 ,Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007",Vermont/Adams
Eggs,Santa Rosa,doz,$4.40 ,Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007",Vermont/Adams
Eggs ,Lucerne,doz,$1.63 ,Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007",Vermont/Adams
Gala Apples,Lucerne,lb,$5.29 ,Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007",Vermont/Adams
Fuji Apples,Lucerne,lb,$3.25 ,Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007",Vermont/Adams
Milk Lowfat,Lucerne,qrt,$2.31 ,Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007",Vermont/Adams
Milk Vitamin D,Lucerne,qrt,$2.31 ,Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007",Vermont/Adams
Milk Nonfat,Lucerne,qrt,$2.31 ,Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007",Vermont/Adams
Milk Lowfat,Lucerne,gal,$4.39 ,Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007",Vermont/Adams
Milk Vitamin D,Lucerne,gal,$4.39 ,Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007",Vermont/Adams
Milk Nonfat,Lucerne,gal,$4.39 ,Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007",Vermont/Adams
Yams,Generic,lb,$0.39 ,Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007",Vermont/Adams
Organic Yams,Generic,lb,$0.65 ,Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007",Vermont/Adams
Black Beans,Westbrae,10oz,$2.59 ,Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007",Vermont/Adams
Green Beans,Westbrae,10oz,$2.59 ,Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007",Vermont/Adams
Black Beans,Green Giant,10oz,$0.99 ,Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007",Vermont/Adams
Green Beans,Green Giant,10oz,$0.99 ,Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007",Vermont/Adams
Eggs ,Lucerne,doz,$1.80 ,Fresh&easy,"3335 S. Figueroa St, Suite B, Los Angeles, CA 90089",Jefferson/Figueroa
Eggs,Santa Rosa,doz,$3.65 ,Fresh&easy,"3335 S. Figueroa St, Suite B, Los Angeles, CA 90089",Jefferson/Figueroa
Eggs ,Lucerne,doz,$1.78 ,Fresh&easy,"3335 S. Figueroa St, Suite B, Los Angeles, CA 90089",Jefferson/Figueroa
Gala Apples,Lucerne,lb,$6.04 ,Fresh&easy,"3335 S. Figueroa St, Suite B, Los Angeles, CA 90089",Jefferson/Figueroa
Fuji Apples,Lucerne,lb,$3.50 ,Fresh&easy,"3335 S. Figueroa St, Suite B, Los Angeles, CA 90089",Jefferson/Figueroa
Milk Lowfat,Lucerne,qrt,$2.16 ,Fresh&easy,"3335 S. Figueroa St, Suite B, Los Angeles, CA 90089",Jefferson/Figueroa
Milk Vitamin D,Lucerne,qrt,$3.06 ,Fresh&easy,"3335 S. Figueroa St, Suite B, Los Angeles, CA 90089",Jefferson/Figueroa
Milk Nonfat,Lucerne,qrt,$2.56 ,Fresh&easy,"3335 S. Figueroa St, Suite B, Los Angeles, CA 90089",Jefferson/Figueroa
Milk Lowfat,Lucerne,gal,$3.89 ,Fresh&easy,"3335 S. Figueroa St, Suite B, Los Angeles, CA 90089",Jefferson/Figueroa
Milk Vitamin D,Lucerne,gal,$3.64 ,Fresh&easy,"3335 S. Figueroa St, Suite B, Los Angeles, CA 90089",Jefferson/Figueroa
Milk Nonfat,Lucerne,gal,$4.14 ,Fresh&easy,"3335 S. Figueroa St, Suite B, Los Angeles, CA 90089",Jefferson/Figueroa
Yams,Generic,lb,$0.54 ,Fresh&easy,"3335 S. Figueroa St, Suite B, Los Angeles, CA 90089",Jefferson/Figueroa
Organic Yams,Generic,lb,$1.15 ,Fresh&easy,"3335 S. Figueroa St, Suite B, Los Angeles, CA 90089",Jefferson/Figueroa
Black Beans,Westbrae,10oz,$2.74 ,Fresh&easy,"3335 S. Figueroa St, Suite B, Los Angeles, CA 90089",Jefferson/Figueroa
Black Beans,Westbrae,10oz,$2.44 ,Fresh&easy,"3335 S. Figueroa St, Suite B, Los Angeles, CA 90089",Jefferson/Figueroa
Black Beans,Green Giant,10oz,$1.14 ,Fresh&easy,"3335 S. Figueroa St, Suite B, Los Angeles, CA 90089",Jefferson/Figueroa
Green Beans,Green Giant,10oz,$1.24 ,Fresh&easy,"3335 S. Figueroa St, Suite B, Los Angeles, CA 90089",Jefferson/Figueroa
Eggs ,Lucerne,doz,$0.80 ,Superior,"3129 S Hoover St, Los Angeles, CA 90007",Hoover/30th
Eggs,Santa Rosa,doz,$3.90 ,Superior,"3129 S Hoover St, Los Angeles, CA 90007",Hoover/30th
Eggs ,Lucerne,doz,$1.13 ,Superior,"3129 S Hoover St, Los Angeles, CA 90007",Hoover/30th
Gala Apples,Lucerne,lb,$4.79 ,Superior,"3129 S Hoover St, Los Angeles, CA 90007",Hoover/30th
Fuji Apples,Lucerne,lb,$2.50 ,Superior,"3129 S Hoover St, Los Angeles, CA 90007",Hoover/30th
Milk Lowfat,Lucerne,qrt,$2.06 ,Superior,"3129 S Hoover St, Los Angeles, CA 90007",Hoover/30th
Milk Vitamin D,Lucerne,qrt,$2.06 ,Superior,"3129 S Hoover St, Los Angeles, CA 90007",Hoover/30th
Milk Nonfat,Lucerne,qrt,$2.16 ,Superior,"3129 S Hoover St, Los Angeles, CA 90007",Hoover/30th
Milk Lowfat,Lucerne,gal,$3.89 ,Superior,"3129 S Hoover St, Los Angeles, CA 90007",Hoover/30th
Milk Vitamin D,Lucerne,gal,$4.14 ,Superior,"3129 S Hoover St, Los Angeles, CA 90007",Hoover/30th
Milk Nonfat,Lucerne,gal,$3.39 ,Superior,"3129 S Hoover St, Los Angeles, CA 90007",Hoover/30th
Yams,Generic,lb,$1.14 ,Superior,"3129 S Hoover St, Los Angeles, CA 90007",Hoover/30th
Organic Yams,Generic,lb,$1.40 ,Superior,"3129 S Hoover St, Los Angeles, CA 90007",Hoover/30th
Black Beans,Westbrae,10oz,$2.44 ,Superior,"3129 S Hoover St, Los Angeles, CA 90007",Hoover/30th
Green Beans,Westbrae,10oz,$2.34 ,Superior,"3129 S Hoover St, Los Angeles, CA 90007",Hoover/30th
Black Beans,Green Giant,10oz,$1.14 ,Superior,"3129 S Hoover St, Los Angeles, CA 90007",Hoover/30th
Green Beans,Green Giant,10oz,$1.14 ,Superior,"3129 S Hoover St, Los Angeles, CA 90007",Hoover/30th
Eggs ,Lucerne,doz,$1.80 ,Smart&final,"3608 S Vermont Ave, Los Angeles, CA 90007",Vermont/35th
Eggs,Santa Rosa,doz,$4.65 ,Smart&final,"3608 S Vermont Ave, Los Angeles, CA 90007",Vermont/35th
Eggs ,Lucerne,doz,$1.48 ,Smart&final,"3608 S Vermont Ave, Los Angeles, CA 90007",Vermont/35th
Gala Apples,Lucerne,lb,$5.04 ,Smart&final,"3608 S Vermont Ave, Los Angeles, CA 90007",Vermont/35th
Fuji Apples,Lucerne,lb,$3.10 ,Smart&final,"3608 S Vermont Ave, Los Angeles, CA 90007",Vermont/35th
Milk Lowfat,Lucerne,qrt,$2.46 ,Smart&final,"3608 S Vermont Ave, Los Angeles, CA 90007",Vermont/35th
Milk Vitamin D,Lucerne,qrt,$2.16 ,Smart&final,"3608 S Vermont Ave, Los Angeles, CA 90007",Vermont/35th
Milk Nonfat,Lucerne,qrt,$2.56 ,Smart&final,"3608 S Vermont Ave, Los Angeles, CA 90007",Vermont/35th
Milk Lowfat,Lucerne,gal,$5.14 ,Smart&final,"3608 S Vermont Ave, Los Angeles, CA 90007",Vermont/35th
Milk Vitamin D,Lucerne,gal,$4.64 ,Smart&final,"3608 S Vermont Ave, Los Angeles, CA 90007",Vermont/35th
